ID_Player;Player;height;weight
1;Curly Armstrong;180;77
2;Cliff Barker;188;83
4;Ed Bartels;196;88
5;Ralph Beard;178;79
6;Gene Berce;180;79
7;Charlie Black;196;90
8;Nelson Bobb;183;77
9;Jake Bornheimer;196;90
10;Vince Boryla;196;95
11;Don Boven;193;95
13;Joe Bradley;190;79
14;Bob Brannum;196;97
15;Carl Braun;196;81
16;Frankie Brian;185;81
17;Price Brookfield;193;83
18;Bob Brown;193;92
20;Walt Budko;196;99
21;Jack Burmaster;190;86
22;Tommy Byrnes;190;79
23;Bill Calhoun;190;81
24;Don Carlson;183;77
25;Bob Carpenter;196;90
26;Jake Carter;193;88
27;Al Cervi*;180;77
28;John Chaney;190;83
29;Leroy Chollet;188;86
30;Bill Closs;196;88
31;Paul Cloyd;188;81
32;Jack Coleman;201;88
33;Bobby Cook;178;70
34;Ray Corley;183;81
35;Jack Cotton;201;90
36;Dillard Crocker;193;92
37;Chink Crossin;185;74
38;Fran Curran;183;79
39;Jimmy Darden;185;77
40;Bob Davies*;185;79
41;Hook Dillon;190;81
42;Earl Dodd;196;79
43;Joe Dolhon;183;79
44;Bob Doll;196;88
45;Harry Donovan;188;81
46;Andy Duncan;198;88
47;Dike Eddleman;190;85
50;Johnny Ezersky;190;79
51;Bob Feerick;190;86
52;George Feigenbaum;185;83
53;Arnie Ferrin;188;81
54;Jerry Fleishman;188;86
55;Joe Fulks*;196;86
56;Bill Gabor;180;77
57;Elmer Gainer;198;88
58;Harry Gallatin*;198;95
59;Vern Gardner;196;90
60;Frank Gates;183;72
61;Dee Gibson;180;79
62;Hoot Gibson;196;89
63;Chuck Gilmur;193;102
64;Normie Glick;201;86
65;Paul Gordon;190;83
66;Joe Graboski;201;88
67;Bud Grant;190;88
68;Don Grate;188;83
69;Alex Groza;201;98
70;Al Guokas;196;90
71;Robert Hahn;208;108
72;Chick Halbert;206;102
73;Bruce Hale;185;77
74;Dale Hamilton;183;81
75;Alex Hannum*;201;95
76;John Hargis;188;81
77;Bob Harris;201;88
78;Bob Harrison;201;88
79;Billy Hassett;180;81
80;Marshall Hawkins;190;92
81;Bill Henry;206;97
82;Bill Herman;190;77
83;Kleggie Hermsen;206;102
84;Sonny Hertzberg;178;79
85;Paul Hoffman;188;88
86;Joe Holland;193;83
87;Red Holzman*;178;79
88;Gene James;193;81
89;Howie Janotta;190;83
90;Tony Jaros;190;83
91;Buddy Jeannette*;180;79
92;Arnie Johnson;196;107
93;Ralph Johnson;180;77
94;Wah Wah;180;77
95;Noble Jorgensen;206;103
96;George Kaftan;190;86
97;Leo Katkaveck;183;83
98;Jack Kerris;198;97
99;Bob Kinney;198;97
100;Walt Kirk;190;78
101;Leo Klier;188;77
102;Duane Klueh;190;79
