ID_Player;born;birth_city;birth_state
;1918;;
2;1921;Yorktown;Indiana
;1924;;
;1925;;
5;1927;Hardinsburg;Kentucky
;1926;;
7;1921;Arco;Idaho
8;1924;Philadelphia;Pennsylvania
9;1927;New Brunswick;New Jersey
10;1927;East Chicago;Indiana
11;1925;Kalamazoo;Michigan
12;1922;Brooklyn;New York
13;1928;Washington;Oklahoma
;1925;;
15;1927;Brooklyn;New York
16;1923;Zachary;Louisiana
17;1920;Floydada;Texas
18;1923;Versailles;Ohio
19;1930;Midlothian;Illinois
20;1925;Kearney;New Jersey
;1926;;
22;1923;Teaneck;New Jersey
23;1927;San Francisco;California
24;1919;Minneapolis;Minnesota
;1917;;
;1924;;
27;1917;Buffalo;New York
;1920;;
29;1925;New Orleans;Louisiana
30;1922;Edge;Texas
;1920;;
32;1924;Burgin;Kentucky
;1923;;
;1928;;
35;1924;Miles City;Montana
36;1925;Coffee County;Tennessee
37;1923;Luzerne;Pennsylvania
38;1922;Sterling;Illinois
;1922;;
40;1920;Harrisburg;Pennsylvania
41;1924;Savannah;Georgia
;1924;;
;1927;;
44;1919;Steamboat Springs;Colorado
45;1926;Union City;New Jersey
;1922;;
47;1922;Centralia;Illinois
48;1917;Kenosha;Wisconsin
49;1925;Indianapolis;Indiana
50;1922;New York;New York
51;1920;San Francisco;California
52;1929;;
53;1925;Salt Lake City;Utah
54;1922;Brooklyn;New York
55;1921;Birmingham;Kentucky
56;1922;;
57;1918;Chicago;Illinois
58;1927;Roxana;Illinois
59;1925;Afton;Wyoming
60;1920;;
61;1923;;
62;1921;;
63;1922;;
64;1927;;
65;1927;;
66;1930;;
67;1927;Superior;Wisconsin
68;1923;Greenfield;Ohio
69;1926;Martins Ferry;Ohio
70;1925;;
71;1925;;
72;1919;Albany;Texas
73;1918;Medford;Oregon
74;1919;;
75;1923;Los Angeles;California
76;1920;Nacogdoches;Texas
77;1927;Linden;Tennessee
78;1927;Linden;Tennessee
79;1921;;
80;1924;Huntington;West Virginia
