ID_Player;collage
1;Indiana University
2;University of Kentucky
3;University of Notre Dame
;North Carolina State University
5;University of Kentucky
6;Marquette University
8;Temple University
9;Muhlenberg College
;University of Denver
11;Western Michigan University
12;St. John's University
13;Oklahoma State University
;Michigan State University
15;Colgate University
16;Louisiana State University
17;West Texas A&M University
18;Miami University
;
20;Columbia University
21;University of Illinois at Urbana-Champaign
22;Seton Hall University
23;City College of San Francisco
24;University of Minnesota
25;East Texas State University
26;East Texas State University
;
28;Louisiana State University
29;Canisius College
30;Rice University
31;University of Wisconsin
32;University of Louisville
33;University of Wisconsin
34;Georgetown University
35;University of Wyoming
36;Western Michigan University
37;University of Pennsylvania
38;University of Notre Dame
39;University of Denver
40;Seton Hall University
41;University of North Carolina
42;Truman State University
43;New York University
44;University of Colorado
45;Muhlenberg College
46;College of William & Mary
47;University of Illinois at Urbana-Champaign
48;University of Wisconsin
49;Butler University
50;University of Rhode Island
51;Santa Clara University
52;University of Kentucky
53;University of Utah
54;New York University
55;Murray State University
56;Syracuse University
57;DePaul University
58;Truman State University
59;University of Utah
60;Sam Houston State University
61;Western Kentucky University
62;Creighton University
63;University of Washington
64;Loyola Marymount University
65;University of Notre Dame
66;
67;University of Minnesota
68;Ohio State University
69;University of Kentucky
70;Saint Joseph's University
71;North Carolina State University
72;West Texas A&M University
73;Santa Clara University
74;Franklin College
75;University of Southern California
76;University of Texas at Austin
77;Oklahoma State University
78;Oklahoma State University
79;University of Notre Dame
80;University of Tennessee
81;Rice University
82;Mount Union College
83;University of Minnesota
84;City College of New York
85;Purdue University
86;University of Kentucky
87;City College of New York
88;Marshall University
89;Seton Hall University
90;University of Minnesota
91;Washington & Jefferson College
92;Bemidji State University
93;Huntington University
94;
95;University of Iowa
96;College of the Holy Cross
97;North Carolina State University
98;Loyola University of Chicago
99;Rice University
100;University of Illinois at Urbana-Champaign
101;University of Notre Dame
102;Indiana State University
103;University of Detroit Mercy
104;University of Wyoming
105;Bowling Green State University
106;Saint Mary's College of California
107;University of Wisconsin
108;Yale University
109;Dartmouth College
110;St. John's University
111;Eastern Kentucky University
112;University of Wyoming
113;Indiana University
114;New York University
115;Saint Louis University
116;Seton Hall University
117;Georgetown University
118;Oregon State University
119;University of Texas at Austin
120;Utah State University
121;Michigan State University
122;Seton Hall University
123;St. John's University
124;University of North Carolina
125;Xavier University
126;University of Tennessee
127;University of Illinois at Urbana-Champaign
128;
129;DePaul University
130;DePaul University
131;Hamline University
132;Western Illinois University
133;Sam Houston State University
134;Youngstown State University
135;Northwestern University
136;College of the Holy Cross
137;Loyola University of Chicago
138;University of Washington
139;University of Notre Dame
140;University of Kentucky
141;Georgia Institute of Technology
142;Hamline University
143;University of Wyoming
144;Loyola University of Chicago
145;College of the Holy Cross
146;Loyola College in Maryland
147;Santa Clara University
148;Western Kentucky University
149;Drake University
150;Beloit College
151;Bowling Green State University
152;Bowling Green State University
153;Baylor University
154;Texas Wesleyan University
155;University of Kentucky
156;Western Kentucky University
157;University of Illinois at Urbana-Champaign
158;Bowling Green State University
159;Tulane University
160;Cornell University
161;DePaul University
162;University of Illinois at Urbana-Champaign
163;Stanford University
164;Drake University
165;Ohio State University
166;
167;
168;Western Kentucky University
169;New York University
170;Ohio State University
171;Eastern Kentucky University
172;University of Wyoming
173;Oregon State University
174;University of Kentucky
175;Indiana State University
176;Temple University
177;Seton Hall University
178;University of Wyoming
179;Seton Hall University
180;Indiana University
181;Saint Louis University
182;West Virginia University
183;New York University
184;Valparaiso University
185;Hamline University
186;University of Wisconsin
187;University of San Francisco
188;Northern Arizona University
189;University of Wisconsin
190;Hamline University
191;University of Southern California
192;Saint Joseph's University
193;University of Toledo
194;University of Alabama
195;Kansas State University
196;Catholic University of America
197;
198;Appalachian State University
199;University of Illinois at Urbana-Champaign
200;University of Notre Dame
201;Western Kentucky University
202;Villanova University
203;
204;DePaul University
205;University of Wyoming
206;University of the Pacific
207;St. John's University
208;Western Kentucky University
209;DePaul University
210;
211;University of Illinois at Urbana-Champaign
212;Colgate University
213;University of Wyoming
214;
215;Saint Mary's University of Minnesota
216;University of Texas at Austin
217;Brigham Young University
218;University of Tennessee
219;Seton Hall University
220;University of Iowa
221;
222;Northern Illinois University
223;St. John's University
224;nan
225;Villanova University
226;West Virginia University
227;University of Arizona
228;Temple University
229;University of Tennessee
230;St. John's University
231;University of Toledo
232;Xavier University of Louisiana
233;Duquesne University
234;College of the Holy Cross
235;Clark Atlanta University
236;Ohio State University
237;West Texas A&M University
238;La Salle University
239;Washington State University
240;Hamline University
241;Western Kentucky University
242;West Virginia State University
243;University of San Francisco
244;City College of New York
245;University of San Francisco
246;Eastern Kentucky University
247;St. Bonaventure University
248;Georgetown University
249;University of Notre Dame
250;University of Wisconsin
251;Tulane University
252;University of California, Los Angeles
253;Long Island University
254;Ohio State University
255;University of Southern California
256;University of California, Los Angeles
257;Bradley University
258;
259;Duquesne University
260;University of Wisconsin-River Falls
261;North Carolina State University
262;Northwestern University
263;University of Missouri
264;Kansas State University
265;Brigham Young University
266;Ohio State University
267;Syracuse University
268;University of Charleston
269;Northwestern State University
270;St. John's University
271;University of California, Los Angeles
272;Butler University
273;University of Illinois at Urbana-Champaign
274;Tulane University
275;University of Wyoming
276;Northwestern University
277;North Carolina State University
278;Drake University
279;LeMoyne College
280;Bowling Green State University
281;Niagara University
282;University of Minnesota
283;University of South Carolina
284;Indiana University
285;West Virginia State University
286;Eastern Kentucky University
287;New York University
288;New York University
289;Washington State University
290;Oklahoma State University
291;Lawrence Technological University
292;St. John's University
293;Duke University
294;Loyola University of Chicago
295;University of California
296;University of Cincinnati
297;University of Louisville
298;Brown University
299;Canisius College
300;University of Pennsylvania
301;Marshall University
302;Texas Christian University
303;St. John's University
304;University of Dayton
305;Syracuse University
306;Temple University
307;Villanova University
308;University of Louisville
309;Colorado State University
310;University of California
311;East Central University
312;Whitworth
313;New Mexico State University
314;University of Wyoming
315;Villanova University
316;Western Kentucky University
317;Long Island University
318;West Virginia University
319;St. John's University
320;Long Island University
321;Alliance College
322;Kansas State University
323;University of Pennsylvania
324;University of Illinois at Urbana-Champaign
325;Georgetown University
326;Texas A&M University
327;DePaul University
328;Loyola University of Chicago
329;Long Island University
330;Hamline University
331;La Salle University
332;DePaul University
333;La Salle University
334;Long Island University
335;University of Washington
336;St. Bonaventure University
337;Kansas State University
338;University of Kansas
339;St. Francis College
340;Columbia University
341;Wofford College
342;Texas Tech University
343;University of Oregon
344;DePaul University
345;Centenary College of Louisiana
346;Syracuse University
347;Long Island University
348;Harvard University
349;Niagara University
350;University of Illinois at Urbana-Champaign
351;University of Detroit Mercy
352;Long Island University
353;
354;Stanford University
355;Missouri State University
356;Villanova University
357;Bradley University
358;Fordham University
359;Utah State University
360;Niagara University
361;King's College
362;St. Bonaventure University
363;Indiana University
364;University of Dayton
365;Canisius College
366;University of Minnesota
367;Princeton University
368;University of Illinois at Urbana-Champaign
369;Western Kentucky University
370;
371;St. John's University
372;Western Kentucky University
373;University of Toledo
374;University of Maryland Eastern Shore
375;Purdue University
376;La Salle University
377;University of Idaho
378;New York University
379;College of the Holy Cross
380;Louisiana State University
381;University of Kentucky
382;University of Notre Dame
383;Furman University
384;University of Maryland
385;Western Kentucky University
386;Duquesne University
387;Western Kentucky University
388;University of Kentucky
389;University of Kentucky
390;Pennsylvania State University
391;Indiana State University
392;Valparaiso University
393;Fordham University
394;St. John's University
395;George Washington University
396;Seton Hall University
397;DePaul University
398;Michigan State University
399;Niagara University
400;University of Minnesota
401;La Salle University
402;University of Dayton
403;Wake Forest University
404;Villanova University
405;University of Dayton
406;University of Oregon
407;University of Minnesota
408;University of Louisville
409;University of Missouri
410;Seton Hall University
411;Duquesne University
412;Iona College
413;Villanova University
414;Santa Clara University
415;University of Notre Dame
416;Saint Francis University
417;University of Cincinnati
418;Florida Agricultural and Mechanical University
419;Western Kentucky University
420;Michigan State University
421;California State University, Los Angeles
422;University of Utah
423;Bowling Green State University
424;University of Kentucky
425;Duquesne University
426;Iona College
427;University of Kentucky
428;College of the Holy Cross
429;George Washington University
430;Grambling State University
431;Whitworth
432;Temple University
433;Indiana University
434;Canisius College
435;University of California, Los Angeles
436;University of Dayton
437;Xavier University
438;University of Toledo
439;University of San Francisco
440;North Carolina State University
441;DePaul University
442;University of Missouri
443;Hofstra University
444;University of Kentucky
445;University of Minnesota
446;Wayne State University
447;St. John's University
448;Utah State University
449;University of Detroit Mercy
450;Niagara University
451;University of California
452;
453;Jackson State University
454;North Carolina Central University
455;Southern Methodist University
456;St. Bonaventure University
457;University of Connecticut
458;Manhattan College
459;Saint Joseph's University
460;University of North Carolina
461;Texas Southern University
462;University of Detroit Mercy
463;University of Louisville
464;Stanford University
465;University of Memphis
466;Seattle University
467;University of Kentucky
468;University of Dayton
469;University of North Carolina
470;Bradley University
471;Indiana University
472;University of Cincinnati
473;Niagara University
474;Miami University
475;University of San Francisco
476;Oregon State University
477;Marshall University
478;Morehead State University
479;University of Kentucky
480;University of Portland
481;
482;University of North Carolina
483;Bradley University
484;University of Dayton
485;Kansas State University
486;Oklahoma City University
487;Temple University
488;University of Louisville
489;Thomas More College
490;Texas Southern University
491;California State University, Fresno
492;Michigan State University
493;Tennessee State University
494;North Carolina State University
495;University of Kansas
496;Saint Louis University
497;Michigan State University
498;George Washington University
499;University of Notre Dame
500;Mississippi State University
501;University of Kansas
502;Dartmouth College
503;Northwestern University
504;New York University
505;North Carolina State University
506;Northwestern University
507;West Virginia University
508;University of Cincinnati
509;University of Wyoming
510;North Carolina Agricultural and Technical State University
511;Kansas State University
512;Wake Forest University
513;University of Cincinnati
514;Oregon State University
515;University of California
516;University of Minnesota
517;
518;Northwestern University
519;Temple University
520;University of San Francisco
521;University of Michigan
522;Saint Joseph's University
523;Louisiana Tech University
524;University of Illinois at Urbana-Champaign
525;Ohio State University
526;University of Cincinnati
527;New York University
528;West Virginia University
529;Providence College
530;Iowa State University
531;Indiana University
532;College of the Holy Cross
533;
534;Tennessee State University
535;Jackson State University
536;Michigan State University
537;Pikeville College
538;Niagara University
539;DePaul University
540;Bowling Green State University
541;Providence College
542;
543;Winston-Salem State University
544;Indiana University
545;Duke University
546;University of North Carolina
547;University of Houston
548;St. Bonaventure University
549;Saint Mary's College of California
550;Stanford University
551;Saint Louis University
552;Western Kentucky University
553;University of Houston
554;Indiana University
555;University of Portland
556;University of North Carolina
557;Pepperdine University
558;University of Kentucky
559;Saint Peter's College
560;St. Bonaventure University
561;Michigan State University
562;University of Cincinnati
563;University of Memphis
564;Miami University
565;Tennessee State University
566;Prairie View A&M University
567;University of Kansas
568;Wake Forest University
569;University of Kentucky
570;University of Detroit Mercy
571;Purdue University
572;Belmont Abbey College
573;Tulane University
574;St. John's University
575;Florida State University
576;College of the Holy Cross
577;University of Iowa
578;Grambling State University
579;Ohio State University
580;University of Kansas
581;
582;St. John's University
583;University of Utah
584;Tennessee State University
585;University of Texas-Pan American
586;University of Iowa
587;Ohio State University
588;University of Louisville
589;University of Southern California
590;Kenyon College
591;St. Bonaventure University
592;Morehead State University
593;Thomas More College
594;
595;Southern Illinois University
596;Bradley University
597;Tennessee State University
598;Northwestern University
599;Villanova University
600;Wichita State University
601;University of Texas at Austin
602;Kansas State University
603;Western Carolina University
604;University of Maryland
605;
606;Loyola University of Chicago
607;Duke University
608;Oklahoma City University
609;Villanova University
610;University of Idaho
611;University of Tulsa
612;Marquette University
613;Ohio State University
614;Seattle University
615;Wheaton College
616;North Carolina State University
617;Ohio State University
618;Jacksonville University
619;University of Cincinnati
620;West Virginia University
621;Bowling Green State University
622;Boston College
623;Stanford University
624;University of Texas at El Paso
625;University of Cincinnati
626;Ohio State University
627;DePaul University
628;Arizona State University
629;Oregon State University
630;Saint Joseph's University
631;Loyola Marymount University
632;New York University
633;
634;Loyola University of Chicago
635;University of Texas-Pan American
636;University of Toledo
637;University of Kentucky
638;Bowling Green State University
639;Oklahoma City University
640;New York University
641;Drake University
642;Duke University
643;University of Kentucky
644;Grambling State University
645;Creighton University
646;Providence College
647;Seattle University
648;University of Cincinnati
649;University of Miami
650;Elon University
651;University of Michigan
652;Ohio Wesleyan University
653;University of North Carolina
654;University of California, Los Angeles
655;Brigham Young University
656;Grambling State University
657;University of California, Los Angeles
658;Davidson College
659;Indiana University
660;Miles College
661;University of Notre Dame
662;University of Evansville
663;Duquesne University
664;Wichita State University
665;Bradley University
666;
667;
668;Pepperdine University
669;Villanova University
670;Wake Forest University
671;Pennsylvania State University
672;Morehead State University
673;Boston College
674;University of Texas at El Paso
675;Syracuse University
676;University of Southern California
677;Wichita State University
678;University of Utah
679;University of Minnesota
680;St. Bonaventure University
681;University of Rochester
682;University of San Francisco
683;University of Dayton
684;Saint Joseph's University
685;University of Tennessee
686;University of Minnesota
687;Ohio State University
688;University of Connecticut
689;University of Kentucky
690;Vanderbilt University
691;Southern University and A&M College
692;Duke University
693;Villanova University
694;Lewis University
695;University of San Francisco
696;University of Detroit Mercy
697;University of Wyoming
698;University of Michigan
699;Purdue University
700;Davidson College
701;Oklahoma City University
702;University of Kansas
703;Hillsdale College
704;Saint Joseph's University
705;Princeton University
706;Johnson C. Smith University
707;Northwestern University
708;Georgia Institute of Technology
709;St. Bonaventure University
710;University of Colorado
711;New Mexico Highlands University
712;St. John's University
713;Tennessee Technological University
714;University of South Carolina
715;Southern Illinois University
716;New York University
717;Oklahoma City University
718;Arizona State University
719;Western Kentucky University
720;Wilberforce University
721;University of North Dakota
722;California State University, Los Angeles
723;University of Oregon
724;University of Texas at El Paso
725;Campbell University
726;University of North Carolina
727;Wake Forest University
728;Seattle University
729;Jackson State University
730;New York University
731;University of Notre Dame
732;Winston-Salem State University
733;University of Toledo
734;Winston-Salem State University
735;University of Kentucky
736;Colorado State University
737;Tulane University
738;Oklahoma Baptist University
739;University of Akron
740;Providence College
741;Northeastern University
742;University of Cincinnati
743;Virginia Polytechnic Institute and State University
744;Central State University
745;California State Polytechnic University, Pomona
746;Seattle University
747;Iowa State University
748;Loyola Marymount University
749;Marshall University
750;Northeastern University
751;North Carolina State University
